0	1	2
Bacteroidaceae_Bacteroides_Otu000096	Lachnospiraceae_Blautia_Otu000435	1.0
Ruminococcaceae_Faecalibacterium_Otu000046	Ruminococcaceae_Incertae_Sedis_Otu000701	1.0
Clostridiaceae_1_Clostridium_sensu_stricto_1_Otu000410	Lachnospiraceae_unclassified_Otu000242	1.0
Lachnospiraceae_Incertae_Sedis_Otu000561	Lachnospiraceae_unclassified_Otu001062	1.0
Clostridiaceae_1_Clostridium_sensu_stricto_1_Otu000410	Ruminococcaceae_unclassified_Otu000156	1.0
Clostridiaceae_1_Clostridium_sensu_stricto_1_Otu000410	Ruminococcaceae_unclassified_Otu000292	1.0
Actinomycetaceae_Actinomyces_Otu001125	Lachnospiraceae_Incertae_Sedis_Otu000561	1.0
Porphyromonadaceae_Parabacteroides_Otu000404	Ruminococcaceae_unclassified_Otu000165	1.0
Lachnospiraceae_Incertae_Sedis_Otu000561	Ruminococcaceae_Flavonifractor_Otu001013	1.0
Actinomycetaceae_Actinomyces_Otu001125	Lachnospiraceae_Incertae_Sedis_Otu000685	1.0
Defluviitaleaceae_Incertae_Sedis_Otu000305	Lachnospiraceae_Blautia_Otu000513	1.0
Lachnospiraceae_unclassified_Otu000225	Ruminococcaceae_Ruminococcus_Otu000123	1.0
Lachnospiraceae_Incertae_Sedis_Otu000561	Ruminococcaceae_Flavonifractor_Otu001931	1.0
Ruminococcaceae_Faecalibacterium_Otu000046	Ruminococcaceae_Faecalibacterium_Otu000055	1.0
Christensenellaceae_unclassified_Otu000951	Lachnospiraceae_unclassified_Otu001701	1.0
Lachnospiraceae_Incertae_Sedis_Otu000685	Ruminococcaceae_unclassified_Otu001984	1.0
Lachnospiraceae_Blautia_Otu000513	Ruminococcaceae_Faecalibacterium_Otu000270	1.0
Lachnospiraceae_Blautia_Otu000513	Lachnospiraceae_unclassified_Otu001467	1.0
Lachnospiraceae_Incertae_Sedis_Otu000561	Ruminococcaceae_Oscillospira_Otu000521	1.0
Porphyromonadaceae_Parabacteroides_Otu000404	Enterobacteriaceae_Cronobacter_Otu001258	1.0
Lachnospiraceae_unclassified_Otu001467	Ruminococcaceae_Faecalibacterium_Otu000270	1.0
Lachnospiraceae_Blautia_Otu000513	Lachnospiraceae_Incertae_Sedis_Otu000811	1.0
Defluviitaleaceae_Incertae_Sedis_Otu000305	Lachnospiraceae_Incertae_Sedis_Otu000811	1.0
Lachnospiraceae_Blautia_Otu000502	Ruminococcaceae_Incertae_Sedis_Otu000701	1.0
Lachnospiraceae_Blautia_Otu000502	Ruminococcaceae_Faecalibacterium_Otu000055	1.0
Lachnospiraceae_Blautia_Otu000502	Ruminococcaceae_Faecalibacterium_Otu000046	1.0
Ruminococcaceae_Oscillospira_Otu000676	Alcaligenaceae_Sutterella_Otu000058	1.0
Clostridiaceae_1_Clostridium_sensu_stricto_1_Otu000410	Lachnospiraceae_Blautia_Otu001036	1.0
Ruminococcaceae_Faecalibacterium_Otu000055	Ruminococcaceae_Incertae_Sedis_Otu000701	1.0
Clostridiaceae_1_Clostridium_sensu_stricto_1_Otu000410	Lachnospiraceae_Blautia_Otu000435	1.0
Bacteroidaceae_Bacteroides_Otu000362	Bacteroidaceae_Bacteroides_Otu001406	1.0
Coriobacteriaceae_Collinsella_Otu001365	Ruminococcaceae_Oscillospira_Otu000443	1.0
Bacteroidaceae_Bacteroides_Otu000362	Rikenellaceae_Alistipes_Otu000109	1.0
Lachnospiraceae_unclassified_Otu000242	Ruminococcaceae_unclassified_Otu000156	1.0
Ruminococcaceae_unclassified_Otu000647	Ruminococcaceae_unclassified_Otu001984	1.0
Lachnospiraceae_Blautia_Otu000233	Ruminococcaceae_unclassified_Otu000647	1.0
Ruminococcaceae_Oscillospira_Otu000443	Ruminococcaceae_Oscillospira_Otu000676	1.0
Bacteroidaceae_Bacteroides_Otu000362	Christensenellaceae_unclassified_Otu000951	1.0
Lachnospiraceae_Incertae_Sedis_Otu000811	Ruminococcaceae_Faecalibacterium_Otu000270	1.0
Ruminococcaceae_Oscillospira_Otu000443	Alcaligenaceae_Sutterella_Otu000058	1.0
Rikenellaceae_Alistipes_Otu000109	Lachnospiraceae_unclassified_Otu001701	1.0
Lachnospiraceae_Incertae_Sedis_Otu000811	Lachnospiraceae_unclassified_Otu001467	1.0
Rikenellaceae_Alistipes_Otu000109	Christensenellaceae_unclassified_Otu000951	1.0
Ruminococcaceae_Oscillospira_Otu000521	Ruminococcaceae_unclassified_Otu000647	1.0
Coriobacteriaceae_unclassified_Otu000592	Porphyromonadaceae_Butyricimonas_Otu000839	1.0
Ruminococcaceae_Oscillospira_Otu000521	Ruminococcaceae_unclassified_Otu001984	1.0
Lachnospiraceae_Blautia_Otu001036	Ruminococcaceae_unclassified_Otu000292	1.0
Lachnospiraceae_Blautia_Otu001036	Ruminococcaceae_unclassified_Otu000156	1.0
Coriobacteriaceae_unclassified_Otu000592	Bacteroidaceae_Bacteroides_Otu000096	1.0
Lachnospiraceae_Incertae_Sedis_Otu000561	Lachnospiraceae_Incertae_Sedis_Otu000685	1.0
Coriobacteriaceae_Adlercreutzia_Otu000303	Porphyromonadaceae_Butyricimonas_Otu000839	1.0
Bacteroidaceae_Bacteroides_Otu000362	Lachnospiraceae_unclassified_Otu001701	1.0
Lachnospiraceae_Blautia_Otu001036	Lachnospiraceae_unclassified_Otu000242	1.0
Ruminococcaceae_unclassified_Otu000165	Enterobacteriaceae_Cronobacter_Otu001258	1.0
Coriobacteriaceae_Adlercreutzia_Otu000303	Bacteroidaceae_Bacteroides_Otu000096	1.0
Lachnospiraceae_Blautia_Otu000502	Lachnospiraceae_Lachnospira_Otu000352	1.0
Lachnospiraceae_Blautia_Otu000233	Lachnospiraceae_Incertae_Sedis_Otu000561	1.0
Marinilabiaceae_unclassified_Otu000825	Lachnospiraceae_Blautia_Otu000355	1.0
Marinilabiaceae_unclassified_Otu000825	Streptococcaceae_Lactococcus_Otu000818	1.0
Actinomycetaceae_Actinomyces_Otu001125	Ruminococcaceae_Flavonifractor_Otu001013	1.0
Coriobacteriaceae_Adlercreutzia_Otu000303	Lachnospiraceae_Blautia_Otu001036	1.0
Actinomycetaceae_Actinomyces_Otu001125	Ruminococcaceae_Flavonifractor_Otu001931	1.0
Bacteroidaceae_Bacteroides_Otu001406	Lachnospiraceae_unclassified_Otu001701	1.0
Lachnospiraceae_Incertae_Sedis_Otu000591	Ruminococcaceae_Ruminococcus_Otu000123	1.0
Bacteroidaceae_Bacteroides_Otu001406	Christensenellaceae_unclassified_Otu000951	1.0
Coriobacteriaceae_Adlercreutzia_Otu000303	Lachnospiraceae_Blautia_Otu000435	1.0
Bacteroidaceae_Bacteroides_Otu001406	Rikenellaceae_Alistipes_Otu000109	1.0
Lachnospiraceae_Incertae_Sedis_Otu000685	Lachnospiraceae_unclassified_Otu001062	1.0
Lachnospiraceae_Blautia_Otu000233	Lachnospiraceae_unclassified_Otu001062	1.0
Lachnospiraceae_Blautia_Otu000355	Ruminococcaceae_Ruminococcus_Otu000123	1.0
Lachnospiraceae_Blautia_Otu000355	Peptostreptococcaceae_Incertae_Sedis_Otu001216	1.0
Lachnospiraceae_Blautia_Otu000355	Lachnospiraceae_unclassified_Otu000225	1.0
Lachnospiraceae_Blautia_Otu000355	Lachnospiraceae_Incertae_Sedis_Otu000591	1.0
Lachnospiraceae_Blautia_Otu000355	Lachnospiraceae_Incertae_Sedis_Otu000491	1.0
Actinomycetaceae_Actinomyces_Otu001125	Ruminococcaceae_unclassified_Otu001984	1.0
Actinomycetaceae_Actinomyces_Otu001125	Ruminococcaceae_unclassified_Otu000647	1.0
Actinomycetaceae_Actinomyces_Otu001125	Ruminococcaceae_Oscillospira_Otu000521	1.0
Lachnospiraceae_Blautia_Otu000233	Ruminococcaceae_Flavonifractor_Otu001013	1.0
Lachnospiraceae_Blautia_Otu000233	Ruminococcaceae_Flavonifractor_Otu001931	1.0
Lachnospiraceae_Blautia_Otu000233	Ruminococcaceae_unclassified_Otu001984	1.0
Lachnospiraceae_Blautia_Otu000233	Lachnospiraceae_Incertae_Sedis_Otu000685	1.0
Marinilabiaceae_unclassified_Otu000825	Lachnospiraceae_Incertae_Sedis_Otu000491	1.0
Lachnospiraceae_Incertae_Sedis_Otu000685	Ruminococcaceae_unclassified_Otu000647	1.0
Marinilabiaceae_unclassified_Otu000825	Lachnospiraceae_Incertae_Sedis_Otu000591	1.0
Lachnospiraceae_Incertae_Sedis_Otu000561	Ruminococcaceae_unclassified_Otu000647	1.0
Lachnospiraceae_Incertae_Sedis_Otu000561	Ruminococcaceae_unclassified_Otu001984	1.0
Defluviitaleaceae_Incertae_Sedis_Otu000305	Lachnospiraceae_unclassified_Otu001467	1.0
Coriobacteriaceae_Collinsella_Otu001365	Rikenellaceae_Alistipes_Otu002369	1.0
Peptostreptococcaceae_Incertae_Sedis_Otu001216	Ruminococcaceae_Ruminococcus_Otu000123	1.0
Defluviitaleaceae_Incertae_Sedis_Otu000305	Ruminococcaceae_Faecalibacterium_Otu000270	1.0
Lachnospiraceae_Blautia_Otu000435	Ruminococcaceae_unclassified_Otu000292	1.0
Actinomycetaceae_Actinomyces_Otu001125	Lachnospiraceae_unclassified_Otu001062	1.0
Lachnospiraceae_Blautia_Otu000435	Ruminococcaceae_unclassified_Otu000156	1.0
Lachnospiraceae_Incertae_Sedis_Otu000685	Ruminococcaceae_Oscillospira_Otu000521	1.0
Coriobacteriaceae_Collinsella_Otu001365	Rikenellaceae_Alistipes_Otu001790	1.0
Lachnospiraceae_Blautia_Otu000435	Lachnospiraceae_unclassified_Otu000242	1.0
Marinilabiaceae_unclassified_Otu000825	Ruminococcaceae_Ruminococcus_Otu000123	1.0
Ruminococcaceae_unclassified_Otu000156	Ruminococcaceae_unclassified_Otu000292	1.0
Lachnospiraceae_unclassified_Otu000225	Peptostreptococcaceae_Incertae_Sedis_Otu001216	1.0
Lachnospiraceae_Blautia_Otu000435	Lachnospiraceae_Blautia_Otu001036	1.0
Coriobacteriaceae_Adlercreutzia_Otu000303	Coriobacteriaceae_unclassified_Otu000592	1.0
Lachnospiraceae_Incertae_Sedis_Otu000591	Lachnospiraceae_unclassified_Otu000225	1.0
Marinilabiaceae_unclassified_Otu000825	Peptostreptococcaceae_Incertae_Sedis_Otu001216	1.0
Marinilabiaceae_unclassified_Otu000825	Lachnospiraceae_unclassified_Otu000225	1.0
Lachnospiraceae_Incertae_Sedis_Otu000685	Ruminococcaceae_Flavonifractor_Otu001931	1.0
Lachnospiraceae_Incertae_Sedis_Otu000685	Ruminococcaceae_Flavonifractor_Otu001013	1.0
Lachnospiraceae_Incertae_Sedis_Otu000591	Peptostreptococcaceae_Incertae_Sedis_Otu001216	1.0
Coriobacteriaceae_Collinsella_Otu001365	Ruminococcaceae_Oscillospira_Otu000676	1.0
Coriobacteriaceae_unclassified_Otu000592	Clostridiaceae_1_Clostridium_sensu_stricto_1_Otu000410	1.0
Lachnospiraceae_Blautia_Otu000233	Ruminococcaceae_Oscillospira_Otu000521	1.0
Ruminococcaceae_Flavonifractor_Otu001013	Ruminococcaceae_unclassified_Otu000647	1.0
Lachnospiraceae_unclassified_Otu001062	Ruminococcaceae_Oscillospira_Otu000521	1.0
Carnobacteriaceae_Granulicatella_Otu001713	Ruminococcaceae_unclassified_Otu000647	1.0
Carnobacteriaceae_Granulicatella_Otu001713	Ruminococcaceae_unclassified_Otu001984	1.0
Lachnospiraceae_Lachnospira_Otu000352	Ruminococcaceae_Faecalibacterium_Otu000046	1.0
Porphyromonadaceae_Butyricimonas_Otu000839	Lachnospiraceae_Blautia_Otu001036	1.0
Porphyromonadaceae_Butyricimonas_Otu000839	Lachnospiraceae_Blautia_Otu000435	1.0
Ruminococcaceae_Flavonifractor_Otu001013	Ruminococcaceae_Flavonifractor_Otu001931	1.0
Ruminococcaceae_Flavonifractor_Otu001013	Ruminococcaceae_Oscillospira_Otu000521	1.0
Coriobacteriaceae_Adlercreutzia_Otu000303	Ruminococcaceae_unclassified_Otu000292	1.0
Porphyromonadaceae_Butyricimonas_Otu000839	Clostridiaceae_1_Clostridium_sensu_stricto_1_Otu000410	1.0
Ruminococcaceae_Flavonifractor_Otu001013	Ruminococcaceae_unclassified_Otu001984	1.0
Lachnospiraceae_unclassified_Otu001062	Ruminococcaceae_unclassified_Otu001984	1.0
Lachnospiraceae_Blautia_Otu000130	Lachnospiraceae_Blautia_Otu000502	1.0
Lachnospiraceae_unclassified_Otu001062	Ruminococcaceae_Flavonifractor_Otu001931	1.0
Lachnospiraceae_Blautia_Otu000130	Lachnospiraceae_Lachnospira_Otu000352	1.0
Streptococcaceae_Lactococcus_Otu000818	Lachnospiraceae_Blautia_Otu000355	1.0
Ruminococcaceae_Flavonifractor_Otu001931	Ruminococcaceae_Oscillospira_Otu000521	1.0
Lachnospiraceae_Blautia_Otu000130	Ruminococcaceae_Faecalibacterium_Otu000046	1.0
Streptococcaceae_Lactococcus_Otu000818	Lachnospiraceae_Incertae_Sedis_Otu000491	1.0
Lachnospiraceae_Blautia_Otu000130	Ruminococcaceae_Faecalibacterium_Otu000055	1.0
Rikenellaceae_Alistipes_Otu001790	Alcaligenaceae_Sutterella_Otu000058	1.0
Ruminococcaceae_Flavonifractor_Otu001931	Ruminococcaceae_unclassified_Otu000647	1.0
Carnobacteriaceae_Granulicatella_Otu001713	Ruminococcaceae_Oscillospira_Otu000521	1.0
Coriobacteriaceae_Adlercreutzia_Otu000303	Ruminococcaceae_unclassified_Otu000156	1.0
Streptococcaceae_Lactococcus_Otu000818	Lachnospiraceae_unclassified_Otu000225	1.0
Lachnospiraceae_Lachnospira_Otu000352	Ruminococcaceae_Incertae_Sedis_Otu000701	1.0
Coriobacteriaceae_unclassified_Otu000592	Ruminococcaceae_unclassified_Otu000292	1.0
Coriobacteriaceae_unclassified_Otu000592	Ruminococcaceae_unclassified_Otu000156	1.0
Rikenellaceae_Alistipes_Otu001790	Rikenellaceae_Alistipes_Otu002369	1.0
Porphyromonadaceae_Butyricimonas_Otu000886	Ruminococcaceae_Incertae_Sedis_Otu000564	1.0
Porphyromonadaceae_Butyricimonas_Otu000886	Ruminococcaceae_Faecalibacterium_Otu000342	1.0
Coriobacteriaceae_Adlercreutzia_Otu000303	Clostridiaceae_1_Clostridium_sensu_stricto_1_Otu000410	1.0
Rikenellaceae_Alistipes_Otu002369	Ruminococcaceae_Oscillospira_Otu000443	1.0
Rikenellaceae_Alistipes_Otu002369	Ruminococcaceae_Oscillospira_Otu000676	1.0
Rikenellaceae_Alistipes_Otu002369	Alcaligenaceae_Sutterella_Otu000058	1.0
Carnobacteriaceae_Granulicatella_Otu001713	Lachnospiraceae_Blautia_Otu000233	1.0
Carnobacteriaceae_Granulicatella_Otu001713	Lachnospiraceae_Incertae_Sedis_Otu000561	1.0
